Tiktoker name,Tiktok name,Subscribers,Views avg.,Likes avg.,Comments avg.,Shares avg.
jypestraykids,Stray Kids,13800000.0,6400000.0,2300000.0,50200.0,34200.0
khaby.lame,Khabane lame,149200000.0,17300000.0,2300000.0,15200.0,8700.0
scarlettsspam2,scarlett,2100000.0,17900000.0,845800.0,53900.0,6300.0
addisonre,Addison Rae,88700000.0,22000000.0,906600.0,7600.0,26200.0
belindatok,Belinda,4800000.0,14200000.0,1500000.0,14500.0,15300.0
onwardwanna,Wanna🥊,7500000.0,12000000.0,2000000.0,20400.0,4200.0
therock,The Rock,55400000.0,13100000.0,1500000.0,14300.0,11900.0
bizarrap,bzrp,5800000.0,16200000.0,2700000.0,4200.0,6900.0
landonbarkerr,Landon Barker,3800000.0,11700000.0,1200000.0,19100.0,15200.0
mrbeast,MrBeast,42200000.0,13000000.0,1700000.0,17200.0,2100.0
charlidamelio,charli d’amelio,146200000.0,15200000.0,959400.0,20800.0,4600.0
amauryguichon,Amaury Guichon,14500000.0,11400000.0,1500000.0,7200.0,11800.0
jetbentlee,Jet,3900000.0,12400000.0,2200000.0,3600.0,6600.0
kervo.dolo,Kervo.dolo,10300000.0,5700000.0,1300000.0,7900.0,27600.0
ttdramanews,TT Drama Layla,856300.0,6100000.0,1100000.0,16600.0,17700.0
mishayoung,Миша Городецкий 🇺🇦,4000000.0,10800000.0,680000.0,5700.0,22500.0
domelipa,domelipa,58100000.0,10400000.0,1500000.0,9100.0,3500.0
kyliejenner,Kylie Jenner,47000000.0,12300000.0,1900000.0,5500.0,2600.0
enhypen,enhypen,12700000.0,4300000.0,1100000.0,24800.0,14300.0
kimberly.loaiza,Kimberly Loaiza,67200000.0,8800000.0,1200000.0,12100.0,4300.0
ramonvitor,ramonvitor,8700000.0,9300000.0,1900000.0,7300.0,2400.0
txt.bighitent,TOMORROW X TOGETHER,18100000.0,3800000.0,1100000.0,27400.0,9500.0
emraynea,emraynea,1100000.0,5100000.0,1400000.0,6600.0,13500.0
